display_name,external_urls,href,id,images,type,uri,followers,country,product,explicit_content,email,genres,name,popularity,album,artists,available_markets,disc_number,duration_ms,explicit,external_ids,is_local,preview_url,track_number,audio_features
,{'spotify': 'https://open.spotify.com/artist/0cGUm45nv7Z6M6qdXYQGTX'},https://api.spotify.com/v1/artists/0cGUm45nv7Z6M6qdXYQGTX,0cGUm45nv7Z6M6qdXYQGTX,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb257217c67faea40445b21169', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174257217c67faea40445b21169', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178257217c67faea40445b21169', 'width': 160}]",top_artist,spotify:artist:0cGUm45nv7Z6M6qdXYQGTX,"{'href': None, 'total': 7670021}",,,,,"['pop', 'r&b', 'rap']",Kehlani,73.0,,,,,,,,,,,
,{'spotify': 'https://open.spotify.com/artist/3SozjO3Lat463tQICI9LcE'},https://api.spotify.com/v1/artists/3SozjO3Lat463tQICI9LcE,3SozjO3Lat463tQICI9LcE,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebcc628db5cd6fffcb659decab', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174cc628db5cd6fffcb659decab', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178cc628db5cd6fffcb659decab', 'width': 160}]",top_artist,spotify:artist:3SozjO3Lat463tQICI9LcE,"{'href': None, 'total': 1347084}",,,,,[],Tyla,77.0,,,,,,,,,,,
,{'spotify': 'https://open.spotify.com/artist/74cb3MG0x0BOnYNW1uXYnM'},https://api.spotify.com/v1/artists/74cb3MG0x0BOnYNW1uXYnM,74cb3MG0x0BOnYNW1uXYnM,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb08b1ae876402b0a3c83d0030', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517408b1ae876402b0a3c83d0030', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17808b1ae876402b0a3c83d0030', 'width': 160}]",top_artist,spotify:artist:74cb3MG0x0BOnYNW1uXYnM,"{'href': None, 'total': 3942447}",,,,,"['ccm', 'christian music', 'world worship', 'worship']",Hillsong UNITED,67.0,,,,,,,,,,,
,{'spotify': 'https://open.spotify.com/artist/2KnhnL8zuqLhIhGk601fsb'},https://api.spotify.com/v1/artists/2KnhnL8zuqLhIhGk601fsb,2KnhnL8zuqLhIhGk601fsb,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebf8551ba83056311ce75d5c02', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174f8551ba83056311ce75d5c02', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178f8551ba83056311ce75d5c02', 'width': 160}]",top_artist,spotify:artist:2KnhnL8zuqLhIhGk601fsb,"{'href': None, 'total': 3816}",,,,,[],kwn,33.0,,,,,,,,,,,
,{'spotify': 'https://open.spotify.com/artist/3ETLPQkcEd7z4k3IbZmXMq'},https://api.spotify.com/v1/artists/3ETLPQkcEd7z4k3IbZmXMq,3ETLPQkcEd7z4k3IbZmXMq,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebe342e7294ed3dc27b167f47d', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174e342e7294ed3dc27b167f47d', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178e342e7294ed3dc27b167f47d', 'width': 160}]",top_artist,spotify:artist:3ETLPQkcEd7z4k3IbZmXMq,"{'href': None, 'total': 684654}",,,,,"['alternative r&b', 'uk contemporary r&b', 'uk funky']",Cleo Sol,64.0,,,,,,,,,,,
,{'spotify': 'https://open.spotify.com/artist/1uf6plWcu7QbKiASVlTUPa'},https://api.spotify.com/v1/artists/1uf6plWcu7QbKiASVlTUPa,1uf6plWcu7QbKiASVlTUPa,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb04ccde3bc481ef6cb10e7ab2', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517404ccde3bc481ef6cb10e7ab2', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17804ccde3bc481ef6cb10e7ab2', 'width': 160}]",top_artist,spotify:artist:1uf6plWcu7QbKiASVlTUPa,"{'href': None, 'total': 74551}",,,,,['uk alternative hip hop'],Wesley Joseph,48.0,,,,,,,,,,,
,{'spotify': 'https://open.spotify.com/artist/63XBtGSEZINSyXylZxEUbv'},https://api.spotify.com/v1/artists/63XBtGSEZINSyXylZxEUbv,63XBtGSEZINSyXylZxEUbv,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb149ebd20c454545fc4fb7487', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174149ebd20c454545fc4fb7487', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178149ebd20c454545fc4fb7487', 'width': 160}]",top_artist,spotify:artist:63XBtGSEZINSyXylZxEUbv,"{'href': None, 'total': 1055570}",,,,,"['alternative r&b', 'r&b']",Victoria Monét,66.0,,,,,,,,,,,
,{'spotify': 'https://open.spotify.com/artist/1CoZyIx7UvdxT5c8UkMzHd'},https://api.spotify.com/v1/artists/1CoZyIx7UvdxT5c8UkMzHd,1CoZyIx7UvdxT5c8UkMzHd,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb90081ebf6b41aa8d0a3522fe', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517490081ebf6b41aa8d0a3522fe', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17890081ebf6b41aa8d0a3522fe', 'width': 160}]",top_artist,spotify:artist:1CoZyIx7UvdxT5c8UkMzHd,"{'href': None, 'total': 3414798}",,,,,"['r&b', 'uk contemporary r&b']",Jorja Smith,70.0,,,,,,,,,,,
,{'spotify': 'https://open.spotify.com/artist/3DEdNjxF3ea9taOMCXouZ6'},https://api.spotify.com/v1/artists/3DEdNjxF3ea9taOMCXouZ6,3DEdNjxF3ea9taOMCXouZ6,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb78cd5f931540508a88c8d8de', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517478cd5f931540508a88c8d8de', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17878cd5f931540508a88c8d8de', 'width': 160}]",top_artist,spotify:artist:3DEdNjxF3ea9taOMCXouZ6,"{'href': None, 'total': 321946}",,,,,['chill drill'],Sainté,60.0,,,,,,,,,,,
,{'spotify': 'https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ'},https://api.spotify.com/v1/artists/1Xyo4u8uXC1ZmMpatF05PJ,1Xyo4u8uXC1ZmMpatF05PJ,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb214f3cf1cbe7139c1e26ffbb', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174214f3cf1cbe7139c1e26ffbb', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178214f3cf1cbe7139c1e26ffbb', 'width': 160}]",top_artist,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,"{'href': None, 'total': 84461106}",,,,,"['canadian contemporary r&b', 'canadian pop', 'pop']",The Weeknd,92.0,,,,,,,,,,,
