danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.737,0.554,7,-6.921,1,0.0386,0.384,8.08e-05,0.363,0.514,132.891,audio_features,5nV3xjY5nlQwAgpuSeinNG,spotify:track:5nV3xjY5nlQwAgpuSeinNG,https://api.spotify.com/v1/tracks/5nV3xjY5nlQwAgpuSeinNG,https://api.spotify.com/v1/audio-analysis/5nV3xjY5nlQwAgpuSeinNG,161530,4
0.77,0.463,10,-5.856,0,0.0488,0.684,0.0,0.0928,0.562,128.017,audio_features,4mYSL3RDHto3rcl7I57ndv,spotify:track:4mYSL3RDHto3rcl7I57ndv,https://api.spotify.com/v1/tracks/4mYSL3RDHto3rcl7I57ndv,https://api.spotify.com/v1/audio-analysis/4mYSL3RDHto3rcl7I57ndv,194159,4
0.766,0.549,5,-10.309,0,0.111,0.372,0.314,0.0906,0.696,113.08,audio_features,1eWH4VqJ6O3AZ6NOSYgpaj,spotify:track:1eWH4VqJ6O3AZ6NOSYgpaj,https://api.spotify.com/v1/tracks/1eWH4VqJ6O3AZ6NOSYgpaj,https://api.spotify.com/v1/audio-analysis/1eWH4VqJ6O3AZ6NOSYgpaj,149505,4
0.718,0.519,1,-8.3,1,0.0569,0.367,0.00277,0.072,0.661,89.984,audio_features,0l0UDr9M10FQAMkq8jcIf8,spotify:track:0l0UDr9M10FQAMkq8jcIf8,https://api.spotify.com/v1/tracks/0l0UDr9M10FQAMkq8jcIf8,https://api.spotify.com/v1/audio-analysis/0l0UDr9M10FQAMkq8jcIf8,272837,4
0.739,0.512,11,-9.864,0,0.0621,0.495,0.0221,0.206,0.747,138.65,audio_features,4fVPC7h1aVP2O7tN0bYwe5,spotify:track:4fVPC7h1aVP2O7tN0bYwe5,https://api.spotify.com/v1/tracks/4fVPC7h1aVP2O7tN0bYwe5,https://api.spotify.com/v1/audio-analysis/4fVPC7h1aVP2O7tN0bYwe5,183354,4
0.455,0.549,1,-10.255,1,0.0616,0.518,0.0657,0.261,0.219,152.02,audio_features,2xDglkKUh1x6SDHtlv8H8J,spotify:track:2xDglkKUh1x6SDHtlv8H8J,https://api.spotify.com/v1/tracks/2xDglkKUh1x6SDHtlv8H8J,https://api.spotify.com/v1/audio-analysis/2xDglkKUh1x6SDHtlv8H8J,292940,4
0.692,0.483,10,-3.57,1,0.0273,0.0145,0.00122,0.131,0.451,76.128,audio_features,64TJKMfx0QxpuR7rTXL05c,spotify:track:64TJKMfx0QxpuR7rTXL05c,https://api.spotify.com/v1/tracks/64TJKMfx0QxpuR7rTXL05c,https://api.spotify.com/v1/audio-analysis/64TJKMfx0QxpuR7rTXL05c,189202,3
0.596,0.462,0,-10.605,1,0.0589,0.476,0.0581,0.112,0.655,173.866,audio_features,47s5hKfwGXliAAB8wKMiNo,spotify:track:47s5hKfwGXliAAB8wKMiNo,https://api.spotify.com/v1/tracks/47s5hKfwGXliAAB8wKMiNo,https://api.spotify.com/v1/audio-analysis/47s5hKfwGXliAAB8wKMiNo,335310,4
0.676,0.5,1,-6.603,1,0.0513,0.00371,0.00278,0.114,0.0742,90.03,audio_features,4Wfe2jloKo95eFVnJEr5N1,spotify:track:4Wfe2jloKo95eFVnJEr5N1,https://api.spotify.com/v1/tracks/4Wfe2jloKo95eFVnJEr5N1,https://api.spotify.com/v1/audio-analysis/4Wfe2jloKo95eFVnJEr5N1,300729,4
0.646,0.285,4,-8.692,0,0.0278,0.903,2.68e-05,0.109,0.247,94.154,audio_features,68C9gWyluR2XVj9r2dppsC,spotify:track:68C9gWyluR2XVj9r2dppsC,https://api.spotify.com/v1/tracks/68C9gWyluR2XVj9r2dppsC,https://api.spotify.com/v1/audio-analysis/68C9gWyluR2XVj9r2dppsC,181279,4
